牛博 超话 6月27日 湖北 宜昌 暴雨 三峡 加大 泄洪 量 全市 水淹 被淹 居民 只能 高层 移。 洒水车 清洗 ######微博 	晚间 快乐 	希望 好心情 照常 营业 ，烦 心事 永久 打烊 ######rumor
石台 蓬莱仙洞风景区 公告 蓬莱仙洞景区 即日 恢复 开放 省 市 、县 疫情 防控 池州市 文化 旅游 局 做好 全市 旅游 景区 疫情 防控 期间 有序 开放 通知 （池文旅〔 2020 10号 ，石台县 蓬莱仙洞景区 恢复 开放 ，景区 池州市 旅游 景区 疫情 防控 期间 有序 开放 工作 指南 做好 开放 接待 保障 工作 告 游客 朋友 您好 切实 新 冠 肺炎 疫情 防控 工作 市 新型 冠状病毒感染 肺炎 疫情 防控 应急指挥部 贯彻 落实 省 疫情 防控 工作 通知 印发 服务业 企业 复工 复业 工作 方案 通知 印发 池州市 科学 防治 精准 施策 分区 分级 做好 新 冠 肺炎 疫情 防控 工作 方案 通知 池州市 旅游 景区 疫情 防控 期间 有序 开放 工作 指南 文件 精神 景区 请 务必 遵守 ：1、 佩戴 口罩 景区 （口罩 自备 购票 游览 2、 购票 前 请到 新 冠 肺炎 疫情 防控 监测 点 体温 检测 ，体温 检测 方可 购票 景区 、景区 洞内 全程 封闭 游览区 摘下 口罩 随地 吐痰 4、 景区 推荐 关注 景区 微信公众号 获取 语音 讲解 服务 减少 人员 交流 接触 降低 疫情 传播 风险 5、 请 景区 巡查 督查 人员 疫情 防控 宣传 做好 防护 配合 工作 人员 防护 指导 游览 6、 景区 禁止 随意 吐痰 乱扔 垃圾 文明 配合 体温 检测 违反 防控 规范 游客 ，景区 第一时间 报告 县 防控 有关部门 处置 疫情 防控 有责 携手 早日 战胜 石台 文化 旅游  安徽池州 杏花村文化旅游区 往事  安徽 发布 显示 地图  组图 9张  原图 ######回复 石台 蓬莱仙洞风景区 客气！ 	回复 观光车 司机  表态 谢谢 	微博 ######nonrumor
金融 小妖女 国际 股市 大跌 跌 ，A股 新 冠 肺炎 独立 正好 明天 检验 牛市 ######抗疫 题材 反弹 一波 	明天早上 全 机会 	成色 ######nonrumor
漫长 岁月 台湾 新 冠 肺炎 确诊 病例 增至 30例 新浪微博 希望 台湾 疫情 控制 住 限 流 干嘛 ？难道 新浪微博 也想 做 喷子 键盘 侠？ ######新浪 也有 键盘 侠 	回复 铁头 不及 头 铁 搜 国台办 吧， 	回复 铁头 不及 头铁 不懂 事 不懂 事， 台湾 中国 一部分 相亲相爱 一家人 ######nonrumor
欣然没烦恼 台湾 新冠 肺炎 确诊 病例 增至 30例 标题 担心 张 图 想起 当初 台湾 阔气 口罩 捐给 澳大利亚 正 疫情 防控 阶段 中国 大陆 禁售 口罩 措施 特别 想说 治 活该！ 找 大陆 帮忙 自作孽，不可活！ 原图 ######回复 兰溪 故人 太过分 	禁止 同胞 捐赠 口罩 充 公 	######nonrumor
宋中清 主任 律师 肺炎 超话 新 冠 肺炎 伊朗 新型 伊朗 媒体 曝 圣城 库姆 50 死于 新 冠 肺炎 伊朗卫生部 官员 否认 2月24日 伊朗 官方 媒体 伊尔纳通讯社 称 该国 城市 库姆 2月13日 已有 至少 50 死于 新 冠肺炎， 另有 250 隔离 伊朗卫生部 官员 否认 报道 称 官方 数据 公开 透明 伊朗 圣城库姆 已有 50 死于 显示 地图 ######		######nonrumor
【韩 高雄 守住 本土 0例 ！韩粉 一封信 疯 高雄 市长 韩国瑜 新 冠 肺炎 爆发 防疫 致力不让 高雄 本土 案例 近期 一封 疫情 感谢信 韩粉 之间 流传 台湾 第一例 高雄 时 韩 当机立断 处置 一级 开设 高雄 躲过 病毒 侵袭 守住 本土 病例 感谢 韩国 瑜」。 更多 详情 原图 ######境外 输入 		大陆 看好 韩国 瑜， 罢免 韩秃子！ ######nonrumor
健康 广东 广东省新闻办 12日下午 新闻 发布会 介绍 广东省 防控 境外 疫情 输入 情况 广东省公安厅 常务 副 厅长 杨日华 介绍 疫情 防控 期间 粤 外国人 接受 新 冠 肺炎 调查 、检验、采集样本、 隔离 治疗 预防控制措施。【 官方 广东 粤 外国人 接受 新 冠肺炎检验、 隔离 防控 措施  原图 ######希望 广东 	3例 领取 	起床 干活 昨天 休息 认领 ######nonrumor
字节 匠人 莫斯科 累计 确诊 人数 破 万# 导语 ：据 俄罗斯 新 冠病毒 防疫 官网 消息 当地时间 4月12日 10:30 俄罗斯 境内 确诊 新冠 肺炎 感染 病例 15770例 ，单日 新增 2186例 累计 治愈 病例 1291例 死亡 130例 疫情 首都 莫斯科， 共有 10158例 确诊 病例 莫斯科 累计 确诊 人数 破 万# ######	回复 大白小志 	夜深 休息 ######nonrumor
何珊瑶 菲律宾 总统 游艇 改建 方舱医院  央视网 报道 当地时间 4月12日 菲律宾 总统 游艇 改建 成 一家 “方舱医院”， 收治 病人 协助 防控 国 新 冠 肺炎 疫情 游艇 容纳 28名 病人 5名 医护人员 游艇 设置 3个 隔离区 隔离区 相隔 3米 ，船 配备 3个 防护 装备 快速 检测 设备 组图 3张  原图 ######翻山越岭 找到 迷失 期待 相遇 装进 。— 西门 五叔 		去过 众多 地方 中 最喜欢 ######nonrumor
缘由 心 生 生命 游戏 父 新冠 肺炎 去世 玩 游戏 我知道 一颗 星星 陨落 ######游戏 科学 	游戏 	生命 游戏 游戏 ######nonrumor
城市 追擊 傳媒 俄罗斯 首次 单日 新增 确诊 超过 2000例## 莫斯科 累计 确诊 人数 破 万#】 俄罗斯 新 冠病毒 防疫 官网 消息 当地时间 4月12日 10:30 俄罗斯 境内 确诊 新冠 肺炎 感染 病例 15770例 ，单日 新增 2186例 累计 治愈 病例 1291例 死亡 130例 疫情 首都 莫斯科， 共有 10158例 确诊 病例 新型 冠状病毒#  原图 ######牛逼啊。。。 	挺住 ，毛 熊 	######nonrumor
Carina live 动物 憨 可爱 老虎 估计 听说 远房 亲戚 新 冠 肺炎 营业  组图 15张  原图 ######回复 姜姜姜 酱 	图 感觉 家 猫 区别 	######nonrumor
生命时报:【 菲律宾 总统 游艇 改建 方舱医院# 可 容纳 28名 病人 5名 医护人员 4月12日 菲律宾 海军 消息 菲律宾 总统 游艇 改建 一家 “方舱医院”， 收治 病人 协助 防控 国 新 冠 肺炎 疫情 游艇 容纳 28名 病人 5名 医护人员 央视网 微博 视频 ######游 挺 做 秀 28个 床 广场 划 一块 地皮 建 	政治 作秀 	迷你 方舱 医院 ######nonrumor
新闻 加一 【国际#护士节#， 白衣 天使 致敬 国际护士节， 主题 致敬 护士 队 伍， 携手 战胜 疫情 全国 援 鄂 医疗 队员 4.26万 护士 2.86万名 占 70%， 护士 新 冠 肺炎 救治 工作 发挥 作用 。护 周全， 敬国 勇士 白衣 天使 致以 诚挚 敬意 点击 视频 看一看 节日 心声 ######天津广播电台 卖 假药 虚张夸大 老年人 洗脑  专家 都是 东北 资质 四零五零 大婶儿  自称 职业 医生  变相 电信 诈骗  没有人 市政府 热线  微博 禁言  这么难 		######nonrumor
血色 军刀 999 编辑 胡玲 发布 实时 统计 数据 显示 北京 时间 5月12日8点 全球 累计 确诊 新冠 肺炎 病例 4171859 例， 累计 死亡 病例 285690例 美国 累计 新 冠 肺炎 确诊 病例 1346723例 死亡 病例 超 8万 80352例 当地时间 5月11日 ，白宫 备忘录 中 一条 “口罩 令 白宫 西翼 办公 区 工作 人员 佩戴 口罩 工位 办公 情况 ，备忘录 办公 人员 社交  ######美国 病毒 真 历害 		渐渐 懂得 清醒 识 趣， 懂得 适可 止 ######nonrumor
NOWnews 今日 新闻 武汉 爆 社区 感染 增 6例 拟 全市 筛检 居民 曝 封闭 中国 境内 爆发 新型 日前 趋缓 上个月 陆续 解封 近日 武汉市 东西湖区 长青街 三民小区 爆发 社区 感染 2 天 新增 6 起 确诊 病例 路透社 报导 武汉疫情防控指挥部 发布 通知 全市 病毒核酸筛检。据 路透社 报导 武汉市政府 内部 文件 消息 来源 显示 当局 计划 10天内 全市 病毒 筛检 市内 辖区 今日 上交 病毒 检测 计画 南华早报 引述 消息 人士 称 当局 计 名 「十天大会战」。 据统计 武汉市 约 1100 万人 居住 人口 约 700万， 10天内 日 检测 70万件 远远 超过 检测 量 中国 微博 网友 分析 武汉 人口 众多 人口 流动 快， 检测 很难长 保 疫情 大陆 媒体 新京报 微博， 爆发 社区 感染 地区 对外 封闭 居民 称 社区 社区 实施 封控 居民 分批 接受 核酸筛检。 ※ 【N OW news 今日 新闻 提醒 应 新 冠 肺炎 疫情 ，疾管署 持续 疫情 监测 边境 管制 措施 入境 如有 发烧、咳嗽 不适 症状 请 拨打 1922 专线 0800 主动 告知 医师 旅游史 接触 史， 利 诊断 通报 更多 精彩 报导 详见 网 本文 NOWnews 授权 报导 关注 原图 ######状态 全世界 多发 情况 武汉 状况 预知 未来 	错别字 。。 服 。。 专业 素养 低 	病源 ######nonrumor
兰州 微 聚焦 纽约 零号 病人 打破 沉默 首次 发声 海外 网 当地时间 11日上午 50岁 加布兹 接受 美媒 NBC 新闻 今日 节目 采访 一开始 ，以为 患 感冒 咳嗽 尝试 ，起初 差点 杀死 病毒“ 脑海 里 注意力 放在 媒体 新 冠肺炎 相关 报道 。  加布兹 否认 出国 经历 一名 律师 整天 坐 办公桌 前 关注 近期 出国 旅行 而我 病情 恶化 最终 医院 急诊室 回忆 发生 事情 昏迷 中 醒来 纽约 州长 重申 美国 新 冠病毒 源自 欧洲  原图 ######黑 夜 有人 陪， 困苦 冷 冬 有人 想 孤独 	中午 	支持 ######nonrumor
湖北日报 湖北 致信 慰问 全省 20万 护理 工作者 # ： 不愧为 荆楚 优秀 儿女 】#护士节# 鲜花 盛开 美好 时节 省 白衣 天使 迎来 意义 非凡 第109个 国际护士节 在此 省委 省政府 全省 20万名 护理 工作者 致以 节日 问候 美好 祝愿 抗疫 第一线 白衣天使们 致以 崇高 敬意 默默 支持 家人 朋友们 诚挚 感谢 2019年 岁末 新冠 肺炎 疫情 肆虐 全省 场 硝烟 中 省 护理 人员 全省 风雨同舟 克 时 艰， 逆向 而行 英勇无畏 持续 奋战 抗击 疫情 第一线 4个多月 驰援 医疗 大军 255家 新冠 肺炎 救治 定点 医疗 机构 16家 方舱医院 4000余个 隔离 点 无数个 基层 医疗 机构 生命 守护 生命 担当 践行 誓言 ，以救死扶伤 己任， 默默无闻 奋斗 奉献 ，谱 写 可歌可泣 战“疫” 篇 章， 不愧为 荆楚 优秀 儿女 崇高 白衣 战士 新时代 可爱 不怕牺牲 不计 报酬 职业 风范 感动 患者 感动 人民、 感动 社会 最美 湖北 护理人 护理 工作 卫生 健康 事业 全省 护理 工作者 推动 省 卫生 健康 事业 改革 发展 维护 人民群众 生命 健康 提高 全民 健康水平 社会 和谐 稳定 作出 贡献 常态化 疫情 防控 形势 希望 松劲 不懈怠 侥幸 织 牢织密 疫情 防线 切实 院感 防控 专业 水准 职业 态度 敬业 精神 守护 健康 主动 对接 人民群众 新 努力 创新 加快 发展 护理 事业 推进 健康 湖北 建设 切实 提升 人民群众 健康 获得感 幸福感 作出 新 更大 贡献 。祝 全省 护理 工作者 节日快乐 ，身心健康 工作 顺利 生活  原图 ######	节日快乐 	######nonrumor
观察者网 【加纳 现 超级 传播者 一人 感染 工厂 533 5月10日 ，加纳 总统 阿库福 阿多 该国 4月26日以来 新增 921例 新 冠 肺炎 病例 中 533例 大城市 特马 一家 鱼类 加工厂 一人 感染 并未 透露 病毒 工厂 传播 未 该厂 措施 细节 加纳 卫生 部门 10日 该国 累计 确诊 病例 达 4700例 22例 死亡 病例 路透社 指出 ，加纳 西非 感染 人数 最多 ######专业 团队 	眼睛 我以为 黑眼圈 	真 想太多 没办法 搞清楚 一个人 533个 十十 百 一种 ######nonrumor
昆明市官渡区法院 【#美 囚犯 获释 聚集 感染 现场 画面 曝光 5月11日 美国洛杉矶警局 发布 监控 显示 多名 囚犯 聚集 ，治安官 称 囚犯 这样做 感染 新冠 提前 释放 监控 拍 聚集 一周后 监狱 21名 囚犯 感染 新 冠。 此前 新 冠病毒 监狱 扩散 加州 释放 数千名 非暴力囚犯。# 聚焦 ######		######nonrumor
糖贝贝sweet 武汉市 全员核酸筛查 工作 5月11日 涉 疫 数据 流行病学 调查 组 下发 全市 新 冠病毒核酸筛查 紧急 通知 称 紧急 通知 ”） 通知 武汉 各区 新 冠 肺炎 疫情 防控 指挥部 ：经 研究 武汉 全市 全员 新 各区 10天 期限 做好 辖区 全员 核酸 筛查 计划 安排 显示 地图  组图 2张  原图 ######回复 糖 贝贝sweet 没事 	回复 笔墨 画 倾城 昨天 小区 排队 做 核酸 检测 还在 社区 安排 	希望 日子 早点 ######nonrumor
墨河 船夫 护士节， 护士 医嘱 执行者 病人 守护神！ 护士 温存 叮嘱 和蔼 表情 悉心 照料 殷勤 呵护 感动 病人 病人 感受到 人性 美好 护士 职位 平凡 薪酬 低微、 工作 辛苦 却是 可爱 新 冠病毒 肺炎 疫情 时期 无数 护士 勇敢 逆行 抗 疫战 线上 英雄 祝福 奋斗 医疗 战线 护士们 工作 顺利 快乐 幸福 原图 ######天使 最美丽 可爱 可爱 爆炸！天使美美哒！ 	回复 海边 生 红 太阳  表态 	回复 女人 花美213 表态 ######nonrumor
余丰慧 武汉 全员核酸筛查 工作 武汉 十天 大会 战” 检测 核酸 离开 武汉 核酸 检测 安排 关键 暂时 处分 人员 处分 隐瞒 真相 报 危害性 更大 5月9日 10日 两天 武汉 新增 6例 新 冠 肺炎 确诊 病例 打破 湖北省 连续 35天 新增 确诊 病例 记录 武汉市卫健委 通报 新增 6例 病例 居住 武汉市 东西湖区 长青街 三民小区 两 夫妻 。经 专家 分析 病人 小区 20例 确诊 病例 组织 专家 因素 排查 分析 病因 应 来源于 社区 感染 原图 ######回复 路过 梦想 关键 	检测 漏网 鱼 。决不可 瞎处分 导致 推卸责任 瞒报 	上午 ######nonrumor
价值 投资 日志 价格 不存在 中国 防疫 物资 物美价廉 国会山报 报道 ，像 纽约州 加州 更大 州 医用 物资 价格 攀升 全球 供应链 短缺 情况 具备 竞争力 较小 州 遭遇 很大 困难 最后一刻 输 出价 超过 联邦 机构 情况 小州 州长们 发现 国家 战略 储备 枯竭 情况 身处 等待 长队 末端 州 领导层 转向 富商 慈善家 家人 求助 帮忙 ，确 保州 医院 医疗 场所 所需 物资 马里兰州州 长拉里 妻子 裕米 祖籍 （国）协商， 该州 50万套 新 冠病毒 检测 包； 马萨诸塞州 新 英格兰 所有人 罗伯特·卡夫 动用 波音767 飞机 中国 购买 防护 用品 华盛顿州 州长 杰伊 华盛顿 应急 小组 官员 牵线 表弟 ，后者 一名 进口 顾问 公司 中国 采购 医疗 用品 未 收取 佣金 就能 代理 销售 新罕布什尔州 求助 慈善家 狄恩 一名 企业家 发明家 发明 电动平衡车， 组织 全球性 机器人 比赛 。卡门公司 业务 中国 制造商 马萨诸塞州 贝德福德 （B edford 一家 医院 获取 防护 口罩 几天 时间 新罕布什尔州 每家 医院 呼唤 卡门 帮忙 卡门 困难 州长 克里斯·苏努努 求助 新罕布什尔州 医院 找到 数百万 中国 医用 口罩 KN 95 口罩 价格 38美分 医院 公开 市场 购买 口罩 价格 相比 便宜 。卡门 州 政府 保证 医院 负担 费用 苏努努 看着 新 冠 肺炎 疫情 蔓延 周边 马萨诸塞州 美国 早期 疫情 中心 超过 10万人次 穿越 马萨诸塞州 新罕布什尔州 边界 新罕布什尔州 流入 病例 苏努努 早已 听说 商业 市场 紧俏 ，苏努努 告诉 卡门， 指 望州政府 承担 这笔 开销 卡门 朋友 联邦 快递 CEO 弗雷德·史密斯 安排 运输 史密斯 卡门 介绍 联邦卫生 公众 服务部 （HHS） 项目 称 项目 负担 运费 几天后 苏努努 卡门 看着 一架 波音 MD 11 飞机 该州 机场 着陆 装 口罩 防护 用品 。“MD 11 飞机 滑行 小曼彻斯特 斜坡 就像 看着 格列佛 来到 小人国。”卡门 周一 11日 接受 采访 时 形容 距离 新罕布什尔州 首例 居民 确诊 感染 新冠 肺炎 过去两个多月 建立 战略 储备 库， 规模 新罕布什尔州 储备 医用 物资 多， 上周 该州 刚刚 退伍军人 事务部 出售 450万只 口罩 苏努努 中国 买到 防护 物资 存疑 新罕布什尔州 订单 量 小， 最初 少量 订货 确认 流程 顺畅 订单 量 越来越 听到 恐怖 描述 ：钱 没了 伪造品 寄 废弃 物品 收 货 卡门 打交道 都是 非常好 中国 企业 苏努努 早早 达成 交易 新罕布什尔州 中国 生产商 眼中 值得 信赖 买家 地位 。假如 疫情 加重 该州 增加 医用 物资 库存 联邦 机构 条 中国 新罕布什尔州 供应链 周边 各州 。康涅狄格州 、佛蒙特州 缅因州 马萨诸塞州 奋力 遏制 病毒 传播 条 新 医用 物资 供应链 提供 感染 病毒、 丢掉 工作 生计 时 东西 感受到 乐观 ”，卡门 美国 新冠 肺炎 死亡人数 8万# 际， 美国 总统 特朗普 甩锅、自嗨！ 原图 ######希望 反转 	KN95 口罩 38美分 一只 	######nonrumor
左岸 蟋蟀 昨天 学校 第一批 核酸 检测 参加 检查 52 阴性 血 常规 检查 ，学校 参加 检查 52 51 抗体 呈 阴性 抗体 呈 阳性 抗体 呈 阳性 阿w。 2月下旬 阿w 80多岁 父亲 确诊 感染 妹妹 接触者 隔离 妹妹 确诊 感染 进 方舱 密切接触者， 隔离 幸好 父亲 妹妹 轻 症， 方舱医院 治疗 ，康复 出院 隔离 隔离期 结束 顺利 回家 就这样 经历 两个 观察期 隔离 感染 症状 隔离 观察 期间 预防 口服 莲花清瘟 奥司他 韦。 隔离期 结束 回 家 猜测 症状 感染 隔离 期间 自愈 核酸 呈 阴性 抗体 呈 阳性 阿w 开玩笑 “百毒 侵” 显示 地图 ######回复 龙门扶风 不需要 接到 通知 	回复 srtfinish 不需要 	隔离 ######nonrumor
中国 教育 在线 全国 高考 报名 人数 1071万# 【 全国 1071万 高考生 教育部 做 今日 教育部 新闻 发布会 介绍 开学 复课 校园 疫情 防控 高校 考试 招生 毕业生 就业 工作 进展 情况 教育部 高校 学生 司 司长 王辉 介绍 2020年 全国 高考 报名 人数 1071万 。教育部 调研 基础 国务院 同意 高考 延期 一个月 湖北省 北京市 疫情 防控 情况 经商 教育部 两地 高考 全国 同步 做好 形势 高考 组织 工作 教育部 印发 应对 新 冠 肺炎 疫情  稳妥 做好 2020年 全国 高校 招生 工作 通知 考试 组织 考场 防疫 各项 工作 部署 。  http ######高考 加油 	四年 万 基础 破 	######nonrumor
香港 衛視HKS 特朗普 白宫 工作 人员 戴口罩  纽约州 拟 重启 经济 美国 新冠 肺炎 确诊 病例 超过 138万例 白宫 陆续 确诊 病例 美国 总统 特朗普 白宫 工作 人员 佩戴 口罩 疫情 纽约州 拟 15日 起分 阶段 重启 经济 美国 11日 新增 确诊 病例 超过 1.4万例 累计 138万例 超过 万人 死亡 。鉴于 白宫 陆续 确诊 ，特朗普 11日 白宫 工作 人员 戴口罩 工作 戴口罩 ，特朗普 不需要 指示， 其他人 接触 问及 白宫 检测 系统 失效 时 ，特朗普 予以 否认 指 新 冠 肺炎 隐形 敌人 有人 确诊 发生 当天 记者会 副总统 彭斯 并未 ，特朗普 ，彭斯 最近两天 病毒 检测 都是 阴性 。特朗普 当天 拨款 10亿美元 加快 州份 新冠 检测 程序 不排除 强制 疗养院 所有人 病毒 检测 美国 经济 未来 数月 改善 美国 疫情 纽约州 累计 已有 超过 2.6 万人 死亡 该州 “居家令” 15日 届满 ，州 长科 疫情 缓 纽约州 地区 重启 经济 香港卫视 综合 报道 ######非 挨到 热天 戴口罩 闷 热 早 戴 早 	微博 	######nonrumor
北京青年报 5.12 国际护士节 想 辛苦 真棒！】 5月12日 国际护士节， 纪念 近代 护理学 护理 教育 创始人 南丁格尔 设立 节日 2020年 新冠 肺炎 疫情 到来 显得 庄重 北京青年报 记者 走上 街头 听听 护士们 送 祝福 ######白衣 哥哥 可爱 	苏雪峰 华# # 苏雪峰华 读书 超话 月 享 汇 西南 主播 粉丝 后援团 	辛苦 ######nonrumor
小一 小凡凡 天津理工大学 开学 天津理工大学 开学  天津 干 不行 偷摸 开学 第一名 不用 退 住宿费 几百块 钱 行 外地人 来回 折腾 机票 钱？ 一帮 这么个 破 学校 里 干嘛 网课 流量 钱 学校 摇号 洗澡 摇号 吃饭 参与 新 冠 肺炎 有奖 竞猜 赢得 享受 医院 大礼包 吐 ######快期末了 才学期头 	飞机 坐 换乘 回去 干嘛 三连 问 结课 回去 寝室 课 蹲 二十多天 考试 	######nonrumor
海上 明月青 大连 本来 清零 发现 两例 境外 输入 新 冠 肺炎 确诊 病例 七， 十三天 形势 依然 严峻 原图 ######回复 Summit 	9个 	回复 @张 肉肉 做好 防护 ######nonrumor
廖康明 英国 首相 新 冠 肺炎 检测 呈 阳性#【# 英国 首相 主持 工作 英国 首相 新 冠 肺炎 检测 呈 阳性 ，约翰逊 社交 媒体 发布 视频 称 最近24小时 轻微 症状 发热 持续 咳嗽 首席 医疗 官 建议 核酸 检测 自我 隔离 在家 办公 此前 约翰逊 新 冠 肺炎 工作 外交 大臣 多米尼克·拉布 担任 临时 首相 显示 地图 ######代表 贵国 贵国 实施 群体 免疫 策略 贵国 支持 	为你 call 	######nonrumor
环球时报 辛苦 重庆 支援 湖北医疗队 一批313 返 渝】 重庆 支援 湖北医疗队 圆满完成 支援 湖北 抗击 新 冠 肺炎 疫情 病人 救治 胜仗 医疗 队员 零感染 目标 3月29日下午 重庆市 支援 湖北医疗队 一批313名 队员 武汉 出发 返回 重庆 。梨 重庆 秒拍视频 @梨 重庆 ######大爱无疆 换来 山河 无恙 	回家 英雄们 	致敬 ######nonrumor
华商网 甘肃 新增 1例 湖北 输入 确诊 病例 】据甘肃省卫健委 通报 3月28日20时 3月29日20时 甘肃 新增 湖北 输入 新 冠 肺炎 确诊 病例 1例 病例 1月14日 兰州 湖北省 咸宁市 老家 3月22日 自驾车 湖北省 咸宁市 低风险 区 ）持 3月23日 到达 兰州所居小区 门口 社区 工作 人员 安排 转运 七里河区 留 观点 医学 隔离 观察 隔离 期间 做 相关 检查 3月28日 CT 显示 右 肺 中 叶 内侧 段 左 肺 舌叶 片状 磨 玻璃 渗出 影。 流行病学史 CT 检查 3月28日 疑似 病例 3月29日 新型 冠状病毒核酸 检测 阳性， 确诊 新 冠肺炎。 省级 定点医院 住院 隔离 治疗 病情 平稳 累计 追踪 接触者 隔离 原图 ######湖北 绿码 	希望 结束 	######nonrumor
廖康明 河南 新增 1例 确诊 病例 河南 新增 1例 确诊 病例 】据 河南省卫生健康委 0-24时 河南省 新增 新 冠 肺炎 确诊 病例 1例 漯河市 1例 3月28日24时 全省 累计 报告 境外 输入 确诊 病例 3例 出院 病例 1例 院 隔离 治疗 3例 确诊 病例 1例 境外 输入 病例 2例 均为 显示 地图 ######	收藏 	######nonrumor
吳靜靜Dolls 抗击 肺炎 关爱 医护  原图 ######回复 請 一定要 快樂亞 嗯嗯 	保护好 仙女 	######nonrumor
广西 政法 关注 新 冠肺炎#【# 外籍 男子 拒 戴口罩 服从 管理 处 限期 出境 3月29日上午 公安雁塔 分局 接 群众 报警 称 辖区 外籍 人士 未 戴口罩 欲 租 住 小区 拒 服从 物业 人员 管理 。经 查， 扰乱 公共秩序 给予 行政处罚， 并处 限期 出境 组图 2张  原图 ######回复 昵称 这么长 学会 围观 群众 群殴 就好 看热闹 	good job 	警方 发布 当街 地上 视频 外国人 过分 点 color 外国 老百姓 中国 软蛋 中国 怂 抚慰 民愤， 吓退 一部分 想来 中国 避难 洋垃圾 国 省事。唯一 缺点 国家 又要 无耻 美国政府 一阵儿 舆论 战 ######nonrumor
赵元气 奶奶 肾衰竭 高血压 住院 外公 老年 痴呆 高烧 住院 看着 躺 病床 老人 衰老 瘦小 无助 痛苦 世界 关联 想到 词 人类 命运 共同体 人生 须臾 百年 意外 疾病 终将 到来 寿终正寝 病躯 一种 美好 祝福 满心实打实 难过 心情 做人 许个 愿 下辈子 做 条 宠物狗 有人 有人 宠 有人 遛， 照顾 组图 2张  原图 ######请问 外公 情况 爷爷 帕金森病， 肺炎 好多 天， 反复 退钱 		抱抱 健康 时 一定要 点 ######nonrumor
独行 骑士 Lwf 澎湃新闻： 武汉市卫健委 新型 冠状病毒感染 肺炎 病例 治愈 出院 4例 武汉市卫健委 新型 冠状病毒感染 肺炎 病例 治愈 出院 4例  分享 下载 澎湃新闻  原图 ######晚上 	不远千里 前来 蹭蹭 人气  	######nonrumor
jinjin7 盘点 2019年 心目 中 尊敬 北京儿童医院 领导 提起 笔 写 封信 女儿 第三次 出院 在家 休养 忘不了 第一次 住院 管床 主治 医生 毛依阳 大夫 忘不了 儿童 医院 呼吸 科 病房 几十个 日日 夜夜。 女儿 赵一诺 10.11 住进 呼吸 二科 病房 主治 医生 毛依阳 大夫 一连串 专业 术语 夫妻 二人 陷入 无比 恐惧 中 初次 接触 肺炎 小伙子 危言耸听 一项 触及 生命 危险 边缘 危言耸听 住院 第一天 下午 赵顺英 主任 查房 ，毛 医生 病房 中 交代 病情 场面 记忆犹新。 孩子 年龄 姓名 入院 情况 各项 生命体 征， 前期 用药 情况 有无既往 病史 各项 查体， 验血 指标 清晰 准确 汇报 赵主任 赵主任 详细 听诊器 孩子 做 检查 交 用药 观察 事项 。毛 医生 用笔 记录 看似 简单 场景 当天 中午 毛 医生 利用 午休 时间 一个小时 家长 详询 反复 提问 沟通 。细致 入 微， 如实 交代 病情 条理 清晰 第一 印象 。  支气管镜 直观 观察 肺部病变， 介入 治疗 手段 孩子 身心 考验 最初 局部 麻醉 女儿 抵触 。毛 医生 大哥哥 孩子 讲解 做 支气管镜 办法 帮 孩子 克服 恐惧 心理 配合 麻醉 治疗 ，当 医生 做完 治疗 虚弱 孩子 交 家长 手中 腾出 手上 物品 接 孩子 手术 门 推开 一刹那 ，毛 医生 紧紧 抱着 孩子 ，径 直 病房 跑 轻轻地 放在 病床 照顾 孩子 吸氧 休息 看着 虚弱 疼痛 不堪 女儿 看着 毛医生 家人 般 亲情 温暖 眼眶 湿润 责任 爱心 担当 又一次 印象 升华。 各项 检查 治疗 经历 几次 赵主任 调整 用药 孩子 各项 指标 ，指 征 向好 方向 发展 女儿 坐 聊天 记得 周末 ，毛 医生 休息 上午 当班 医生 尤 大夫 孩子 录 视频 ，一问 毛医生 放心 孩子 特意 打电话 请 班 医生 孩子 录 一段 视频 想 孩子 情况 还能 不正 医者 仁心 生动 实践 病情 一天天 好转 女儿 银铃 般 笑声 回来 制作 感谢 祝福 卡片 想 送给 毛 医生 精选 一盒 巧克力 希望 贺卡 送给 真诚 收下 孩子 贺卡 更真诚 拒绝 巧克力 尊重 职业 操守 尊重 人格品 德！ 病情 经历 两次 短暂 住院治疗 机会 分 毛医生 主治 每次 看着 ，照顾别 孩子 都是 尽心尽职。 想 穷尽脑汁赞美 词语 表扬 想 真实 发生 事情 记录 段 经历 段 经历 孩子 成人 品行 人生 操守良处 颇多 表扬 话 留给 院 领导 更多 感谢 感谢 毛依阳 医生 感谢 赵顺英 主任 感谢 杨海明 主任 徐慧 主任 吴小会 主任 一批 根植 内心 救死扶伤 医生 挽救 一个个 孩子 一个个 崩溃 家庭 感谢 随信 附上 女儿 诺诺 制作 新年 贺卡 祝愿 呼吸 二科 医护 新年快乐 身体健康 赵磊  刘瑾 携 全家 千岁末 2019年12月  组图 3张  原图 ######回复 北京儿童医院 茫茫 人海 中 患者 医生 疾病 结缘 每一个 平凡 医生 平凡 人生 改变 疾病 遭遇 痛苦 患者 家庭 患者 平台 诉说 故事 表达 谢意。 许 许多多 平凡 医生 展 面前 ，让 更多 平凡 更多 感恩 医生 谢谢 平台 	您好！ 感谢 过去一年 北京儿童医院 关注 支持 一份 礼物 送 烦请 私信 留下 地址 电话 谢谢 	######nonrumor
